# ID,Mahalanobis,Angle-based Outlier Detector (ABOD),Cluster-based Local Outlier Factor (CBLOF),Feature Bagging,Histogram-base Outlier Detection (HBOS),Isolation Forest,K Nearest Neighbors (KNN),Average KNN,Local Outlier Factor
peptide_1,1,1,0,0,1,1,0,0,0
peptide_2,0,1,1,1,1,1,1,0,1
peptide_3,0,0,0,0,1,1,1,0,0
peptide_4,0,0,0,0,0,0,0,0,0
peptide_5,0,0,1,1,1,1,1,0,1
peptide_6,0,0,0,0,0,0,0,0,0
peptide_7,0,0,0,0,0,0,0,0,0
peptide_8,0,0,0,0,0,0,0,0,0
peptide_9,0,0,0,0,0,0,0,0,0
peptide_10,1,0,1,0,1,1,0,0,0
peptide_11,0,0,0,0,0,0,0,0,0
peptide_12,0,0,0,0,0,0,0,0,0
peptide_13,0,0,0,0,0,0,0,0,0
peptide_14,0,0,0,0,0,0,0,0,0
peptide_15,0,0,0,0,0,0,0,0,0
peptide_16,0,0,1,0,1,1,0,0,0
peptide_17,0,0,0,0,0,0,0,0,0
peptide_18,0,0,0,0,0,0,0,0,0
peptide_19,0,0,0,0,0,0,0,0,0
peptide_20,0,0,0,0,0,0,0,0,0
peptide_21,0,0,0,0,0,0,0,0,0
peptide_22,0,0,0,0,0,0,0,0,0
peptide_23,1,0,0,0,0,0,0,0,0
peptide_24,0,0,0,0,0,0,0,0,0
peptide_25,1,0,0,0,0,0,0,0,0
peptide_26,0,1,0,0,0,0,0,0,0
peptide_27,1,0,0,0,0,0,0,0,0
peptide_28,0,0,0,0,0,0,0,0,0
peptide_29,0,0,1,0,0,1,0,0,0
peptide_30,0,0,0,0,0,0,0,0,0
peptide_31,1,0,0,0,0,0,0,0,0
peptide_32,0,0,0,0,0,0,0,0,0
peptide_33,0,0,0,0,0,0,0,0,0
peptide_34,0,0,0,0,0,0,0,0,0
peptide_35,0,0,0,0,0,0,0,0,0
peptide_36,0,0,0,0,0,0,0,0,0
peptide_37,0,0,0,0,0,0,0,0,0
peptide_38,0,0,0,0,0,0,0,0,0
peptide_39,0,1,0,0,0,0,0,0,0
peptide_40,0,1,0,0,0,0,0,0,0
peptide_41,0,0,0,0,0,0,0,0,0
peptide_42,0,0,0,0,0,0,0,0,0
peptide_43,0,0,0,0,0,0,0,0,0
peptide_44,0,0,0,0,0,0,0,0,0
peptide_45,0,0,0,0,0,0,0,0,0
peptide_46,0,0,0,0,0,0,0,0,0
peptide_47,0,0,0,0,0,0,0,0,0
peptide_48,0,0,0,0,0,0,0,0,0
peptide_49,0,0,0,0,0,0,0,0,0
peptide_50,0,0,0,0,0,0,0,0,0
