# ID,Mahalanobis,Angle-based Outlier Detector (ABOD),Cluster-based Local Outlier Factor (CBLOF),Feature Bagging,Histogram-base Outlier Detection (HBOS),Isolation Forest,K Nearest Neighbors (KNN),Average KNN,Local Outlier Factor
AP00001,0,0,0,0,0,0,0,0,0
AP00002,0,1,0,0,0,0,0,0,0
AP00003,0,0,0,0,0,0,0,0,0
AP00004,1,0,0,0,0,0,0,0,0
AP00005,0,0,0,0,0,0,0,0,0
AP00006,0,0,0,0,0,0,0,0,0
AP00007,0,0,0,0,0,0,0,0,0
AP00008,0,1,0,0,0,0,1,1,1
AP00009,1,1,0,1,0,0,1,1,1
AP00010,0,1,1,1,1,0,1,1,1
AP00011,0,0,0,0,0,0,0,0,0
AP00012,0,0,0,0,0,0,0,0,0
AP00013,0,0,0,0,0,0,0,0,0
AP00014,0,0,0,0,0,0,0,0,0
AP00015,0,0,0,0,0,0,0,0,0
AP00016,0,0,0,0,0,0,0,0,0
AP00017,0,0,0,0,0,0,0,0,0
AP00018,0,0,0,0,0,0,0,0,0
AP00019,0,0,0,0,0,0,0,0,0
AP00020,0,0,0,0,0,0,0,0,0
AP00021,0,0,0,0,0,0,0,0,0
AP00022,0,0,0,0,0,0,0,0,0
AP00023,0,0,0,1,0,0,0,0,1
AP00024,1,1,1,1,1,1,1,1,1
AP00025,1,1,1,1,1,1,1,1,1
AP00026,0,1,0,0,0,0,0,0,0
AP00027,0,1,1,1,1,1,1,1,1
AP00028,1,0,0,0,0,0,0,0,0
AP00029,0,0,0,0,0,0,0,0,0
AP00030,0,0,0,0,0,0,0,0,0
AP00031,0,0,0,0,0,0,0,0,0
AP00032,0,0,0,0,0,0,0,0,0
AP00033,0,0,0,0,0,0,0,0,0
AP00034,0,0,0,0,0,0,0,0,0
AP00035,0,0,0,0,0,0,0,0,0
AP00036,0,0,0,0,0,0,0,0,0
AP00037,0,0,0,0,0,0,0,0,0
AP00038,0,0,0,0,0,0,0,0,0
AP00039,0,0,0,0,0,0,0,0,0
AP00040,0,0,0,0,0,0,0,0,0
AP00041,0,0,0,0,0,0,0,0,0
AP00042,0,1,0,0,0,0,0,0,0
AP00043,0,0,0,0,0,0,0,0,0
AP00044,0,0,0,0,0,0,0,0,0
AP00045,0,0,0,0,0,0,0,0,0
AP00046,0,0,0,0,0,0,0,0,0
AP00047,0,0,0,0,0,0,0,0,0
AP00048,0,0,0,0,0,0,0,0,0
AP00049,0,0,0,0,0,0,0,0,0
AP00050,0,0,0,0,0,0,0,0,0
AP00051,0,0,0,0,0,0,0,0,0
AP00052,0,0,0,0,0,0,0,0,0
AP00053,0,0,0,0,0,0,0,0,0
AP00054,0,0,0,0,0,0,0,0,0
AP00055,0,0,0,0,0,0,0,0,0
AP00056,0,0,0,0,0,0,0,0,0
AP00057,0,0,0,0,0,0,0,0,0
AP00058,1,0,0,0,0,0,0,0,0
AP00059,0,0,0,0,0,0,0,0,0
AP00060,0,0,0,0,0,0,0,0,0
AP00061,1,0,0,0,0,0,0,0,0
AP00062,0,0,0,0,0,0,0,0,0
AP00063,0,0,0,0,0,0,0,0,0
AP00064,0,0,0,0,0,0,0,0,0
AP00065,0,0,0,0,0,0,0,0,0
AP00066,0,0,0,0,0,0,0,0,0
AP00067,0,0,0,0,0,0,0,0,0
AP00068,0,0,0,0,0,0,0,0,0
AP00069,0,0,0,0,0,0,0,0,0
AP00070,0,0,0,0,0,0,0,0,0
AP00071,0,0,0,0,0,0,0,0,0
AP00072,0,0,0,0,0,0,0,0,0
AP00073,0,0,0,0,0,0,0,0,0
AP00074,0,0,0,0,0,0,0,0,0
AP00075,0,0,0,0,0,0,0,0,0
AP00076,0,0,0,0,0,0,0,0,0
AP00077,0,0,0,0,0,0,0,0,0
AP00078,0,0,0,0,0,0,0,0,0
AP00079,0,0,0,0,0,0,0,0,0
AP00080,0,0,0,0,0,0,0,0,0
AP00081,0,0,0,0,0,0,0,0,0
AP00082,0,0,0,0,0,0,0,0,0
AP00083,0,0,0,0,0,0,0,0,0
AP00084,0,0,0,0,0,0,0,0,0
AP00085,0,0,0,0,0,0,0,0,0
AP00086,0,0,0,0,0,0,0,0,0
AP00087,0,0,0,0,0,0,0,0,0
AP00088,0,0,0,0,0,0,0,0,0
AP00089,0,0,0,0,0,0,0,0,0
AP00090,0,0,0,0,0,0,0,0,0
AP00091,0,0,0,0,0,0,0,0,0
AP00092,0,0,0,0,0,0,0,0,0
